,user,team,timestamp,likes,replies,retweets,text,polarity,positive,negative
99,tblgucks,@TBLightning,2018-06-06 19:10:56,0,1,0,u seem mad,-0.625,0,1
100,wickedcellist,@TBLightning,2018-04-27 23:52:41,0,0,0,Go @TBLightning !,0.0,0,0
101,EpicureanHotel,@TBLightning,2018-04-27 23:47:08,1,0,0,,,0,0
102,BlackAndGold277,@TBLightning,2018-04-27 23:46:55,1,0,0,It was a good game even though I thought it would go the complete seven. Learn from that first round and bring it against a @TBLightning team that they’ve had success with it the past.,0.07142857142857141,1,0
103,BlackAndGold277,@TBLightning,2018-04-27 23:44:51,0,1,0,Damn do I hate this spell check!!! I’m sure you understood what I meant.,-0.25,0,1
104,LeverJohnl,@TBLightning,2018-04-27 23:40:32,1,1,0,I’ll go with that. GO BRUINS!,0.0,0,0
105,KellyMorrill1,@TBLightning,2018-04-27 23:39:28,0,0,0,So proud to be apart of LSES... and of course the TBL. Go Bolts!,1.0,1,0
106,BlackAndGold277,@TBLightning,2018-04-27 23:39:01,1,1,0,Valid points bud. I’m more on the season matchup regardless of playoff security nd season narrative. I’ve seen this #NHLBruins team win some big games against the @TBLightning and think the same when it comes to series outcome. B’s in six IMO. #Boston #BruinsFam #GoBruins,0.325,1,0
107,RMillerWRHS,@TBLightning,2018-04-27 23:33:54,1,0,0,Excited to see @TBLightning keep the hunt on for the #StanleyCup tomorrow!!! #GoBolts,0.732421875,1,0
108,RaysBaseball,@TBLightning,2018-04-27 23:33:31,0,0,0,Love #TeamTampaBay.,0.5,1,0
109,theskiff13,@TBLightning,2018-04-27 23:32:44,5,1,1,Rocking the @TBLightning hat cheering the @RaysBaseballpic.twitter.com/aNwmoKXIqv,0.0,0,0
110,TBLightning,@TBLightning,2018-04-27 23:30:20,51,0,8,"Still don't have Second Round tickets? You can snag 100 percent verified tickets through @Ticketmaster and the NHL Ticket Exchange, guaranteed to get you in.

: http://tbl.co/18R2tix pic.twitter.com/DNNZN7MMQB",-0.1,0,1
111,ohhmyginger17,@TBLightning,2018-04-27 23:28:15,0,0,0,The struggle of having family in Boston. #raysredsox #lightningbruins #antibostonweekend @RaysBaseball @RedSox @TBLightning @NHLBruinspic.twitter.com/2hFOjXFDYG,0.0,0,0
112,LexiSab3200,@TBLightning,2018-04-27 23:26:31,1,0,0,Yup!,0.0,0,0
113,lkleisljdj,@TBLightning,2018-04-27 23:09:49,0,0,0,"Maintenant la suite. Donc, @TBLightning, @Capitals (presque par pitié) et @LasVegasNHL. Après, entre @NHLJets et @PredsNHL, c’est comme choisir entre le sexe et la gastronomie. @NikolajEhlers24 @rjosi90",0.0,0,0
114,carloseats,@TBLightning,2018-04-27 23:09:39,6,0,2,"Attn @TBLightning fans: Check out #routetotherink tomorrow at @tampariverwalk from 11AM-3PM. 

There will be activities, games, photo booths, music, food trucks, beer tents, giveaways, and more. 

#tampa #gobolts #tampabaylightning #stanleycupplayoffs #bethethunderpic.twitter.com/UFnvnQnns2",0.5,1,0
115,ForrestTPA,@TBLightning,2018-04-27 23:07:27,1,0,0,Love that beard,0.5,1,0
116,allycl6,@TBLightning,2018-04-27 23:05:00,1,0,0,@The_Croctopus,0.0,0,0
117,ShootfFirst,@TBLightning,2018-04-27 23:03:20,0,1,0,Fix your CS servers!!!! Their garbage!! 93 horvat skating faster than my 99 players!! What the hell is wrong with your game EA!,-0.5,0,1
118,lightningcam81,@TBLightning,2018-04-27 23:03:07,0,0,0,I’m not sleeping @TBLightning,0.0,0,0
119,TBLightning,@TBLightning,2018-04-27 23:00:01,31,2,3,"Up and at ‘em! Our next @pods Pop Up Shop will hit the St. Pete Saturday Morning Market TOMORROW from 9a-2p.

Snag exclusive #Bolts items only available here and tag your photos with #BoltsMoves! #GoBoltspic.twitter.com/VMqsiyeySu",0.16666666666666666,1,0
120,juangsantana,@TBLightning,2018-04-27 22:51:46,0,0,0,My daughter with her classmates @shoreartsmagnet supporting @TBLightning #Boltskidshttps://twitter.com/shoreartsmagnet/status/989950641811357696 …,0.25,1,0
121,NYMobdoll,@TBLightning,2018-04-27 22:48:56,0,0,0,"CALLY! Capt Pinball just hit everyone! Plow over Marchand like I watched you do so many times. In case he decides to still lick opposing players, rub hot sauce on your cheek and neck.  Haha ",0.31666666666666665,1,0
122,FOXSportsFL,@TBLightning,2018-04-27 22:48:33,10,0,3,.@TBlightning defenseman Victor Hedman says executing the small details will be important in the upcoming series against the Boston Bruins. #GoBoltspic.twitter.com/hzchse2ysc,0.07500000000000001,1,0
123,monkeysue1278,@TBLightning,2018-04-27 22:47:36,1,0,0,@tblightning in the hockey playoffs mean blue fountains @strazcenter !!! GO LIGHTNING!!! … https://www.instagram.com/p/BiF1gxSDzx3/ ,-0.15625,0,1
124,JarrodJDillon,@TBLightning,2018-04-27 22:44:49,33,2,5,The support of @TBLightning  in our community is amazing! Look what our great friends @CityofTampa are doing! #GoBoltshttps://twitter.com/cityoftampa/status/989955418913898496 …,0.875,1,0
125,Mamasue123,@TBLightning,2018-04-27 22:44:18,0,0,0,Let’s go Pointer!,0.0,0,0
126,djdavidwhite813,@TBLightning,2018-04-27 22:41:09,0,0,0,@TBLightning vs #Bruins tonight and  @Buccaneers have 2 2nd round picks. #Tampa #TampBay #NFLDraft #NHLPlayoffs2018,-0.1,0,1
127,warrenchris,@TBLightning,2018-04-27 22:36:12,1,0,0,pic.twitter.com/wpcTEHp7e2,0.0,0,0
128,FOXSportsFL,@TBLightning,2018-04-27 22:30:00,7,0,3,.@TBLightning forward Brayden Point explains to the upcoming second-round series against the Boston Bruins. #GoBoltspic.twitter.com/zDoYgX83Aj,0.0,0,0
129,jhahn4,@TBLightning,2018-04-27 22:26:47,0,0,0,Good point. He only played 8 games for the Knights this season and it definitely didn't hurt Tampa to lose him.,0.2333333333333333,1,0
130,Alvear97tb,@TBLightning,2018-04-27 22:24:15,0,0,0,"The Time has Arrived when those in the local TB media 
(Fox13,620WDAE) Choose
A Team and Stop with their
50%/50%,or_____
allegiances.",0.0,0,0
131,FOXSportsFL,@TBLightning,2018-04-27 22:15:00,20,0,4,.@TBLightning captain Steven Stamkos says he expects the guys to be ready to get on the ice and go Saturday afternoon in the first game against the Boston Bruins. #GoBoltspic.twitter.com/Nr7CQ1y68g,0.016666666666666663,1,0
132,NYMobdoll,@TBLightning,2018-04-27 22:12:48,2,0,0,"Just ""POINT"" him toward the net! #GoBolts",0.0,0,0
133,Renner153,@TBLightning,2018-04-27 22:10:09,0,0,0,Hey @TBLightning check out my friend and her first grade class. She’s also a season ticket holder. pic.twitter.com/FCtB4aw4OH,0.25,1,0
134,FOXSportsFL,@TBLightning,2018-04-27 21:59:37,11,0,2,.@TBLightning forward Ryan Callahan talks after Friday's practice about the long layoff before the start of the #StanleyCup Playoffs second round and the matchup with the Boston Bruins. #GoBoltspic.twitter.com/TflN2CKuJz,-0.08333333333333333,0,1
135,warrenchris,@TBLightning,2018-04-27 21:58:59,2,1,0,Chicks dig hockey.,0.0,0,0
136,TyChamblisss,@TBLightning,2018-04-27 21:57:00,1,0,0,Cooper is ready for Round 2 tomorrow! @TBLightning #GoBolts #CanineThunder #BOSvsTBLpic.twitter.com/9ZDHMif9Mi,-0.024999999999999994,0,1
137,Esoxluzius,@TBLightning,2018-04-27 21:52:41,1,0,0,tomorrow there's a big game I send from Switzerland some cool ice teapic.twitter.com/MlIx8zQaZq,-0.01666666666666668,0,1
138,valerie_stoakes,@TBLightning,2018-04-27 21:51:54,0,0,0,Go Bolts Go Bolts. All the way,0.0,0,0
139,MikeJBarnes,@TBLightning,2018-04-27 21:51:17,2,0,0,#GoBolts,0.0,0,0
140,YborAndrew,@TBLightning,2018-04-21 23:59:29,2,0,0,This family at the #Rowdies game is just so hammered. Even the kids. I can’t believe the parents took them to the ‘Shit Whole’.pic.twitter.com/XYXCSecUQu,-0.13333333333333336,0,1
141,Jpw03,@TBLightning,2018-04-21 23:59:17,165,2,5,THE @TBLightning ARE GOING TO THE SECOND ROUND! Heres how it happened: http://youtu.be/L_jIDngASDI?a ,-0.125,0,1
142,gervaise_al,@TBLightning,2018-04-21 23:59:03,0,0,0,Great 100% effort in all three zones. Keep up the good work,0.75,1,0
143,BrysonSb,@TBLightning,2018-04-21 23:57:34,0,0,0,BRING BACK BOB COLE!!!,0.0,0,0
144,Deadpoolio86,@TBLightning,2018-04-21 23:57:30,0,0,0,I’m pulling for @TBLightning. The @penguins look like they’re the team to beat though.,0.0,0,0
145,imaboltsfan,@TBLightning,2018-04-21 23:56:17,1,0,0,"Heck of a series & mad props to Schneider, he had Heck of a game",-0.5125,0,1
146,HurleyDavis,@TBLightning,2018-04-21 23:56:12,2,0,0,Sucks to suck @GioWFAN ,-0.3,0,1
147,redkiy1886,@TBLightning,2018-04-21 23:55:52,0,0,0,Кууууч - Красава!!  На очереди БостонИли молодежь даст им бой?! ,0.0,0,0
148,spencestweets,@TBLightning,2018-04-21 23:55:49,0,0,0,"It’s hockey, not checkers...",0.0,0,0
149,Audreyskinner17,@TBLightning,2018-04-21 23:55:31,0,0,0,Go Bolts! Moving on to the next round.  Let's get the Cup!!!!!,-0.30517578125,0,1
150,shooteyshoots,@TBLightning,2018-04-21 23:55:07,1,0,0,https://youtu.be/y8-LH_VUROk ,0.0,0,0
